peerId	peerName	message	timestamp	topic
zajeltoe	Sam	{"type":"user1-ready","localUser":true}	2022-05-20T16:32:04.969Z	
p5ofywjl	participant	{"type":"all-user-ready","allUsersReady":true}	2022-05-20T16:32:07.409Z	
p5ofywjl	participant	{"type":"moving-webcam-participant","movingWebcam":{"x":1047.0546875,"y":-0.2109375}}	2022-05-20T16:32:08.210Z	
p5ofywjl	participant	{"type":"moving-webcam-participant","movingWebcam":{"x":1041.30859375,"y":-0.32421875}}	2022-05-20T16:32:08.250Z	
p5ofywjl	participant	{"type":"moving-webcam-participant","movingWebcam":{"x":1039.5859375,"y":-0.2265625}}	2022-05-20T16:32:08.259Z	
p5ofywjl	participant	{"type":"moving-webcam-participant","movingWebcam":{"x":1036.28125,"y":-0.03125}}	2022-05-20T16:32:08.274Z	
p5ofywjl	participant	{"type":"moving-webcam-participant","movingWebcam":{"x":1035.23828125,"y":0.140625}}	2022-05-20T16:32:08.290Z	
p5ofywjl	participant	{"type":"moving-webcam-participant","movingWebcam":{"x":1029.9296875,"y":0.59375}}	2022-05-20T16:32:08.308Z	
p5ofywjl	participant	{"type":"moving-webcam-participant","movingWebcam":{"x":1026.00390625,"y":0.8515625}}	2022-05-20T16:32:08.323Z	
p5ofywjl	participant	{"type":"moving-webcam-participant","movingWebcam":{"x":1012.97265625,"y":1.48046875}}	2022-05-20T16:32:08.341Z	
p5ofywjl	participant	{"type":"moving-webcam-participant","movingWebcam":{"x":1005.34765625,"y":1.48046875}}	2022-05-20T16:32:08.357Z	
p5ofywjl	participant	{"type":"moving-webcam-participant","movingWebcam":{"x":990.60546875,"y":1.48046875}}	2022-05-20T16:32:08.390Z	
p5ofywjl	participant	{"type":"moving-webcam-participant","movingWebcam":{"x":977.7421875,"y":0.99609375}}	2022-05-20T16:32:08.407Z	
p5ofywjl	participant	{"type":"moving-webcam-participant","movingWebcam":{"x":964.7109375,"y":0.83203125}}	2022-05-20T16:32:08.442Z	
p5ofywjl	participant	{"type":"moving-webcam-participant","movingWebcam":{"x":950.21875,"y":0.671875}}	2022-05-20T16:32:08.460Z	
p5ofywjl	participant	{"type":"moving-webcam-participant","movingWebcam":{"x":947.43359375,"y":0.5546875}}	2022-05-20T16:32:08.475Z	
p5ofywjl	participant	{"type":"moving-webcam-participant","movingWebcam":{"x":939.390625,"y":0.5546875}}	2022-05-20T16:32:08.490Z	
p5ofywjl	participant	{"type":"moving-webcam-participant","movingWebcam":{"x":926.56640625,"y":0.81640625}}	2022-05-20T16:32:08.524Z	
p5ofywjl	participant	{"type":"moving-webcam-participant","movingWebcam":{"x":919.9296875,"y":0.81640625}}	2022-05-20T16:32:08.540Z	
p5ofywjl	participant	{"type":"moving-webcam-participant","movingWebcam":{"x":907.8828125,"y":1.11328125}}	2022-05-20T16:32:08.557Z	
p5ofywjl	participant	{"type":"moving-webcam-participant","movingWebcam":{"x":901.24609375,"y":1.26953125}}	2022-05-20T16:32:08.576Z	
p5ofywjl	participant	{"type":"moving-webcam-participant","movingWebcam":{"x":888.953125,"y":1.26953125}}	2022-05-20T16:32:08.590Z	
p5ofywjl	participant	{"type":"moving-webcam-participant","movingWebcam":{"x":883.30078125,"y":1.26953125}}	2022-05-20T16:32:08.607Z	
p5ofywjl	participant	{"type":"moving-webcam-participant","movingWebcam":{"x":864.83203125,"y":0.7421875}}	2022-05-20T16:32:08.626Z	
p5ofywjl	participant	{"type":"moving-webcam-participant","movingWebcam":{"x":857.20703125,"y":0.7421875}}	2022-05-20T16:32:08.642Z	
p5ofywjl	participant	{"type":"moving-webcam-participant","movingWebcam":{"x":842.04296875,"y":0.58984375}}	2022-05-20T16:32:08.657Z	
p5ofywjl	participant	{"type":"moving-webcam-participant","movingWebcam":{"x":834.91015625,"y":0.58984375}}	2022-05-20T16:32:08.675Z	
p5ofywjl	participant	{"type":"moving-webcam-participant","movingWebcam":{"x":822.6171875,"y":0.58984375}}	2022-05-20T16:32:08.691Z	
p5ofywjl	participant	{"type":"moving-webcam-participant","movingWebcam":{"x":815.484375,"y":0.58984375}}	2022-05-20T16:32:08.715Z	
p5ofywjl	participant	{"type":"moving-webcam-participant","movingWebcam":{"x":936.2265625,"y":0.67578125}}	2022-05-20T16:32:08.716Z	
p5ofywjl	participant	{"type":"moving-webcam-participant","movingWebcam":{"x":800.7421875,"y":0.4375}}	2022-05-20T16:32:08.723Z	
p5ofywjl	participant	{"type":"moving-webcam-participant","movingWebcam":{"x":794.3515625,"y":0.4375}}	2022-05-20T16:32:08.741Z	
p5ofywjl	participant	{"type":"moving-webcam-participant","movingWebcam":{"x":777.33203125,"y":0.2578125}}	2022-05-20T16:32:08.761Z	
p5ofywjl	participant	{"type":"moving-webcam-participant","movingWebcam":{"x":772.171875,"y":0.11328125}}	2022-05-20T16:32:08.773Z	
