peerId	peerName	message	timestamp	topic
zmuke9am	Pauline Saglio	{"type":"user1-ready","localUser":true}	2022-05-19T11:34:10.537Z	
zmuke9am	Pauline Saglio	{"type":"user1-ready","localUser":true}	2022-05-19T11:35:07.277Z	
zmuke9am	Pauline Saglio	{"type":"user1-ready","localUser":true}	2022-05-19T11:35:08.692Z	
at5q9esx	Alain	{"type":"all-user-ready","allUsersReady":true}	2022-05-19T11:35:10.662Z	
zmuke9am	Pauline Saglio	{"type":"resize-webcam-host","resizeWebcam":{"w":447.58203125,"h":356.42578125}}	2022-05-19T11:35:15.593Z	
zmuke9am	Pauline Saglio	{"type":"resize-webcam-host","resizeWebcam":{"w":449.7578125,"h":358.65234375}}	2022-05-19T11:35:15.626Z	
zmuke9am	Pauline Saglio	{"type":"resize-webcam-host","resizeWebcam":{"w":483.73046875,"h":376.8203125}}	2022-05-19T11:35:15.674Z	
zmuke9am	Pauline Saglio	{"type":"resize-webcam-host","resizeWebcam":{"w":511.29296875,"h":384.84375}}	2022-05-19T11:35:15.679Z	
zmuke9am	Pauline Saglio	{"type":"resize-webcam-host","resizeWebcam":{"w":547.5390625,"h":393.72265625}}	2022-05-19T11:35:15.693Z	
zmuke9am	Pauline Saglio	{"type":"resize-webcam-host","resizeWebcam":{"w":580.78515625,"h":401.9921875}}	2022-05-19T11:35:15.703Z	
zmuke9am	Pauline Saglio	{"type":"resize-webcam-host","resizeWebcam":{"w":611.921875,"h":410.1796875}}	2022-05-19T11:35:15.746Z	
zmuke9am	Pauline Saglio	{"type":"resize-webcam-host","resizeWebcam":{"w":662.75,"h":424.18359375}}	2022-05-19T11:35:15.747Z	
zmuke9am	Pauline Saglio	{"type":"resize-webcam-host","resizeWebcam":{"w":674.015625,"h":427.61328125}}	2022-05-19T11:35:15.758Z	
zmuke9am	Pauline Saglio	{"type":"resize-webcam-host","resizeWebcam":{"w":704.09765625,"h":437.4921875}}	2022-05-19T11:35:15.777Z	
zmuke9am	Pauline Saglio	{"type":"resize-webcam-host","resizeWebcam":{"w":729.64453125,"h":446.62109375}}	2022-05-19T11:35:15.793Z	
zmuke9am	Pauline Saglio	{"type":"resize-webcam-host","resizeWebcam":{"w":737.48046875,"h":449.80859375}}	2022-05-19T11:35:15.825Z	
